cedulaRemitente,cedulaDestinatario,peso,tipoContenido,numGuia,codigoOficinaRecepcion,nombreOficina,direccionOficina,ciudadOficina,codigoRegionEnvio,nombreRegion
47767239440,53923218705,2000,prenda de vestir,RTY657,CHA98765,Oficina Chapinero,Carrera 7 #43-23,Bogotá,GAM9725,Gran America
345667335678,37898563423,5000,calefactor electrico,OPQ456,TDE56845,Oficina Teusaquillo,Carrera 30 #12-10,Bogotá,TPJ483,Teusaquillo
30367825533,54110617861,6536,Prenda de vestir,JYF387,TD66DS76,Oficina Puente aranda,Cra 40 #29b-12,Bogotá,BIO867,El Rosario
8228310068,95798097969,8959,Nevera,JGY476,YUGY124,Oficina Fontibon,Cra 56 #23-12,Bogotá,JUT567,El guadual
10741534,7531294426,2860,Computador HP,MMJ768,TU21231U,Oficina Fontibon,Cra 72 #87-12,Bogotá,NHF456,La Giralda
8698943991,2144908119,1348,Libros,BYY900,JOIOI2313,Oficina Teusaquillo,Cra 12 #12-134,Bogotá,MJG457,La soledad
29884097817,54660886741,7501,Cinturones,NHT123,USA34563,Oficina Usaquen,Calle 134 #15-23,Bogotá,MAR3445,Marly
70900356948,47767239440,589,PS4,YUSD7S,CHA98765,Oficina Chapinero,Carrera 7 #43-23,Bogotá,BEL9815,Bella Suiza
54660886741,95169440034,2,PlayStation 4,UINE7S,TEU65356,Oficina Teusaquillo,Carrera 40 #24-23 Teusaquillo,Bogotá,LAC9805,La Calleja
42752076851,85069441870,1,Acer Swift 7,YUSH9S,CHA98765,Oficina Chapinero,Carrera 7 #43-23 Chapinero,Bogotá,QPA9745,Quinta Paredes
70900356948,53923218705,2,Audifonos Sony,SONY7P,CHA98765,Oficina Chapinero,Carrera 7 #43-23 Chapinero,Bogotá,CHA8245,Chapinero Alto
